Time,FlowRate,InletTemperature,OutletTemperature,AirTemperature,RelativeHumidity,HeatLoss,VolumetricHumidity,MixingRatio
0,41.64845525,25.17242272,29.77133143,29.8,82.7,13407.621052508915,24.85425519837541,0.022054882811274126
10,40.59219109,25.60320837,30.26380427,29.8,84.6,13242.865955624937,25.42527194416638,0.022579980084561413
20,43.10627917,25.56351357,28.96547211,30.4,84.3,10265.204218500387,26.16965186818272,0.023313591825186126
30,42.60687344,25.15150703,27.51969857,30.0,85.5,7063.086605852103,25.975285399444825,0.023102380596789575
40,43.89418165,25.08492031,28.23307779,29.8,81.3,9673.005740294831,24.43350601726627,0.02166851616072522
50,43.75510543,25.35947824,27.45370492,30.6,84.8,6414.317642440316,26.60991232760397,0.023736987209778716
60,43.15461112,25.5934093,28.58069473,30.4,85.0,9024.059872526439,26.386956213470125,0.02351449915402687
70,41.44516902,25.81414483,28.97847901,30.3,83.2,9180.245544810421,25.689306194618506,0.022862123705369906
80,42.1473548,25.22311092,27.46397499,30.7,83.9,6611.254511180345,26.469482786985623,0.02361503149331545
90,43.27267706,25.10939979,29.15449736,30.5,84.3,12252.954057596051,26.3110063130772,0.02345228052268839
100,46.37208608,25.14325881,28.53324412,30.2,83.8,11004.048342367885,25.73534148971313,0.022896775448829846
110,45.63330887,25.24475328,29.61498721,30.5,85.1,13959.97643332907,26.56069557820723,0.023683315207374465
120,45.44629627,25.37391919,29.9510822,29.9,82.4,14561.057435998144,24.89848082216293,0.02210307401386062
130,44.68241458,25.24084728,27.62280596,30.7,84.9,7450.21656765327,26.784971258820967,0.023907316746789833
140,45.4756523,25.12070089,29.25538466,30.5,85.0,13161.92090464813,26.52948442006598,0.023654426826918887
150,46.53041682,25.35649013,27.35924211,30.4,82.4,6523.221909153618,25.57982578811692,0.022768901820337743
160,45.56662081,25.49362816,28.68557494,29.8,83.3,10181.235999897232,25.034576275993608,0.022220610551047026
170,46.13384779,25.02771793,29.21585822,30.1,80.9,13525.05186634185,24.710952953397662,0.021945714535079385
180,46.56944966,25.70145744,30.13179781,30.3,81.4,14442.295898616652,25.13352793560032,0.02234973741066474
190,42.24145038,25.16459939,28.29634947,30.3,84.4,9260.276592481672,26.05982503396397,0.023204167543916267
200,42.4949062,25.38958776,28.3239305,30.5,82.4,8728.623364646564,25.71799430839338,0.022904235236098164
210,42.60119382,25.24822151,28.3458132,30.7,84.7,9237.277277263789,26.7218735644539,0.023848838525440196
220,45.7277584,25.35449184,28.34317143,30.7,84.0,9566.593275857174,26.501031634169156,0.02364424811394204
230,44.6861144,25.60555318,28.41349482,29.9,81.5,8783.320094749452,24.626531395707264,0.021853174790454382
240,40.83670327,25.40932736,27.69783679,29.8,81.6,6541.862636645483,24.52366655607537,0.021751269983962564
250,40.60398222,25.28111918,27.28860689,30.4,84.9,5705.839669859595,26.35591273557192,0.023485790448085037
260,41.64277348,25.36425243,28.47230822,30.5,84.0,9059.964425832066,26.217372838653443,0.023365685136962144
270,42.90797355,25.37195933,28.89178185,29.8,80.8,10571.991611219808,24.28323845258444,0.02153064039312484
280,40.21028654,25.62606834,29.37323726,30.5,82.7,10547.231519088764,25.811627782817137,0.02299070681895765
290,38.4034444,24.92112338,29.31624544,30.0,82.6,11815.14779636964,25.094252327416868,0.02229070855983897
300,38.53586817,25.54627468,29.84122908,30.4,84.6,11585.685758819305,26.262782301877316,0.02339967965023225
310,39.07085109,25.02184732,29.55184849,30.3,83.5,12389.37008054171,25.781935904454876,0.02294760066032763
320,40.1673358,25.65781209,30.19967812,30.0,82.8,12770.426058993604,25.155013228936042,0.022346620360183353
330,40.10875459,25.77113644,28.78503066,30.6,81.8,8461.848054113965,25.66852391978779,0.02286636281308825
340,39.53623674,25.53209177,29.81925321,30.3,83.4,11864.876074410746,25.75105933450942,0.0229191058242562
350,36.19622645,25.66297681,28.21836829,30.0,84.3,6474.687007493648,25.610719990329812,0.022766268391889905
360,35.9522172,24.92921337,27.67166033,29.9,85.0,6901.793413577986,25.684112498590395,0.022826096041736937
370,35.12399361,24.99844553,28.53730667,30.5,85.1,8700.925524762608,26.56069557820723,0.023683315207374465
380,37.51635615,25.21845378,28.2222977,30.0,84.8,7888.52948252124,25.762622244127733,0.022906272569070983
390,36.33212273,25.61148472,28.99893273,30.0,85.5,8615.122378857,25.975285399444825,0.023102380596789575
400,35.46200607,25.18626138,27.83418705,30.0,82.0,6573.052932771417,24.911969622859367,0.022123031364983566
410,36.8933541,25.66314135,27.90349949,30.1,80.7,5785.802831888621,24.649862834847852,0.021889551228666232
420,32.93900012,25.27648659,27.32823476,30.1,85.3,4730.777325248785,26.05493556149345,0.023183790936383824
430,34.51039456,25.31081077,28.31479718,30.2,80.8,7256.812938338454,24.81402854855395,0.02204802521412547
440,35.09942797,25.07784418,27.05619812,30.7,82.3,4860.7364131337035,25.96470123204907,0.0231479249273948
450,36.95823439,25.06499016,29.07428483,30.6,83.3,10372.351650670638,26.139218123695876,0.023301381346329753
460,36.61526374,24.89529849,28.16875084,30.2,82.8,8390.082479490104,25.4282371759934,0.022613610246609617
470,37.54514951,24.95585373,27.00568374,29.9,84.0,5387.282193687428,25.381946469195213,0.02254781862616783
480,32.82031497,25.27561598,29.96800479,30.2,84.4,10780.397509413238,25.91960407794497,0.02306679401832807
490,36.92540603,25.69987384,30.46943007,29.9,81.7,12328.246026296629,24.686964601586304,0.02190869119142837
500,34.3972192,24.98256418,29.04296844,30.2,84.7,9776.66307602836,26.011735372060883,0.023151836925925078
510,37.4503414,25.18221311,29.99126268,30.1,85.2,12607.03837442162,26.024390502218548,0.023155599967092176
520,35.56614857,25.14683309,29.74695573,29.9,82.0,11452.60516781224,24.777614410404855,0.02199198374670248
530,37.06060866,25.51215542,28.87335764,30.4,84.8,8719.774007178024,26.324869257673715,0.023457084295699093
540,35.7327249,25.26300578,28.82967071,30.4,82.4,8921.265972791738,25.57982578811692,0.022768901820337743
550,37.00974517,25.86005863,29.79029383,30.7,84.4,10181.990224711475,26.627227022903295,0.02376114104539641
560,40.44124371,25.31180338,29.96371592,30.7,84.4,13169.039012342155,26.627227022903295,0.02376114104539641
570,40.86726121,25.37585827,28.13589807,30.1,85.0,7895.668721961735,25.963300383668738,0.023099225418830353
580,38.69413818,25.57283672,27.71653494,30.6,83.0,5806.398859862996,26.04507928291426,0.02321433069129662
