Time,FlowRate,InletTemperature,OutletTemperature,AirTemperature,RelativeHumidity
10,41.64845525,25.17242272,29.77133143,29.8,82.7
20,40.59219109,25.60320837,30.26380427,29.8,84.6
30,43.10627917,25.56351357,28.96547211,30.4,84.3
40,42.60687344,25.15150703,27.51969857,30.0,85.5
50,43.89418165,25.08492031,28.23307779,29.8,81.3
60,43.75510543,25.35947824,27.45370492,30.6,84.8
70,43.15461112,25.5934093,28.58069473,30.4,85.0
80,41.44516902,25.81414483,28.97847901,30.3,83.2
90,42.1473548,25.22311092,27.46397499,30.7,83.9
100,43.27267706,25.10939979,29.15449736,30.5,84.3
110,46.37208608,25.14325881,28.53324412,30.2,83.8
120,45.63330887,25.24475328,29.61498721,30.5,85.1
130,45.44629627,25.37391919,29.9510822,29.9,82.4
140,44.68241458,25.24084728,27.62280596,30.7,84.9
150,45.4756523,25.12070089,29.25538466,30.5,85.0
160,46.53041682,25.35649013,27.35924211,30.4,82.4
170,45.56662081,25.49362816,28.68557494,29.8,83.3
180,46.13384779,25.02771793,29.21585822,30.1,80.9
190,46.56944966,25.70145744,30.13179781,30.3,81.4
200,42.24145038,25.16459939,28.29634947,30.3,84.4
210,42.4949062,25.38958776,28.3239305,30.5,82.4
220,42.60119382,25.24822151,28.3458132,30.7,84.7
230,45.7277584,25.35449184,28.34317143,30.7,84.0
240,44.6861144,25.60555318,28.41349482,29.9,81.5
250,40.83670327,25.40932736,27.69783679,29.8,81.6
260,40.60398222,25.28111918,27.28860689,30.4,84.9
270,41.64277348,25.36425243,28.47230822,30.5,84.0
280,42.90797355,25.37195933,28.89178185,29.8,80.8
290,40.21028654,25.62606834,29.37323726,30.5,82.7
300,38.4034444,24.92112338,29.31624544,30.0,82.6
310,38.53586817,25.54627468,29.84122908,30.4,84.6
320,39.07085109,25.02184732,29.55184849,30.3,83.5
330,40.1673358,25.65781209,30.19967812,30.0,82.8
340,40.10875459,25.77113644,28.78503066,30.6,81.8
350,39.53623674,25.53209177,29.81925321,30.3,83.4
360,36.19622645,25.66297681,28.21836829,30.0,84.3
370,35.9522172,24.92921337,27.67166033,29.9,85.0
380,35.12399361,24.99844553,28.53730667,30.5,85.1
390,37.51635615,25.21845378,28.2222977,30.0,84.8
400,36.33212273,25.61148472,28.99893273,30.0,85.5
410,35.46200607,25.18626138,27.83418705,30.0,82.0
420,36.8933541,25.66314135,27.90349949,30.1,80.7
430,32.93900012,25.27648659,27.32823476,30.1,85.3
440,34.51039456,25.31081077,28.31479718,30.2,80.8
450,35.09942797,25.07784418,27.05619812,30.7,82.3
460,36.95823439,25.06499016,29.07428483,30.6,83.3
470,36.61526374,24.89529849,28.16875084,30.2,82.8
480,37.54514951,24.95585373,27.00568374,29.9,84.0
490,32.82031497,25.27561598,29.96800479,30.2,84.4
500,36.92540603,25.69987384,30.46943007,29.9,81.7
510,34.3972192,24.98256418,29.04296844,30.2,84.7
520,37.4503414,25.18221311,29.99126268,30.1,85.2
530,35.56614857,25.14683309,29.74695573,29.9,82.0
540,37.06060866,25.51215542,28.87335764,30.4,84.8
550,35.7327249,25.26300578,28.82967071,30.4,82.4
560,37.00974517,25.86005863,29.79029383,30.7,84.4
570,40.44124371,25.31180338,29.96371592,30.7,84.4
580,40.86726121,25.37585827,28.13589807,30.1,85.0
590,38.69413818,25.57283672,27.71653494,30.6,83.0
600,39.81819167,25.42795277,28.77207768,30.0,82.7
610,39.44378206,25.6398275,29.10668165,29.8,85.2
620,40.1861694,24.973438,27.47390621,30.5,82.3
630,40.55796309,25.14741493,29.40978138,30.1,83.6
640,43.92985892,25.7948692,28.38176528,30.4,81.7
650,41.29100654,25.59291328,29.2283606,30.2,85.4
660,40.05994446,24.96168294,28.86438132,30.6,82.0
670,45.25957047,25.46284115,29.49152144,30.0,84.3
680,42.09833728,25.00057522,26.99745938,30.4,84.3
690,45.89216749,25.62423521,29.28677185,30.5,81.2
700,41.84601714,25.42822471,27.87582806,29.7,84.7
710,42.07672797,25.8419403,28.11104728,30.5,80.9
720,42.4747431,25.58384032,29.48618645,30.2,84.5
